X,Y,AVGQUADRANT_MACRO_VALUE,AVG_MACRO_VALUE,RANGE_MACRO_VALUE,MAX_MACRO_VALUE,MIN_MACRO_VALUE,CLASS
0,0,0,16.9609,1,17,16,0
16,0,0,16.9766,1,17,16,0
32,0,0,16.957,1,17,16,0
48,0,0,16.9453,1,17,16,0
64,0,0,16.9531,1,17,16,0
80,0,0,16.9648,1,17,16,0
96,0,0,16.9492,1,17,16,0
112,0,0,16.9727,1,17,16,0
128,0,0,16.9531,1,17,16,0
144,0,0,16.9688,1,17,16,0
160,0,0,16.9688,1,17,16,0
176,0,0,16.9766,1,17,16,0
192,0,0,16.9609,1,17,16,0
208,0,0,16.9648,1,17,16,0
224,0,0,16.9531,1,17,16,0
240,0,0,16.957,1,17,16,0
256,0,0,16.957,1,17,16,0
272,0,0,16.9531,1,17,16,0
288,0,0,16.9492,1,17,16,0
304,0,0,16.9492,1,17,16,0
320,0,0,16.9688,1,17,16,0
336,0,0,17.2227,2,18,16,0
352,0,0,17.7383,2,19,17,0
368,0,0,17.7656,1,18,17,0
384,0,0,17.9336,2,19,17,0
400,0,0,17.9883,2,19,17,0
416,0,0,18.0195,2,19,17,0
432,0,0,18.1562,1,19,18,0
448,0,0,18.1836,2,19,17,0
464,0,0,18.1406,2,19,17,0
480,0,0,18.1758,1,19,18,0
496,0,0,18.2344,1,19,18,0
512,0,0,18.375,1,19,18,0
528,0,0,18.2656,1,19,18,0
544,0,0,18.1836,1,19,18,0
560,0,0,18.1875,1,19,18,0
576,0,0,18.1523,1,19,18,0
592,0,0,18.1562,1,19,18,0
608,0,0,18.0977,2,19,17,0
624,0,0,17.8555,2,19,17,0
640,0,0,17.2383,2,18,16,0
656,0,0,16.9492,2,18,16,0
672,0,0,17.0078,2,18,16,0
688,0,0,16.9023,1,17,16,0
704,0,0,16.9219,1,17,16,0
720,0,0,17.0195,2,18,16,0
736,0,0,17.168,1,18,17,0
752,0,0,17.1289,1,18,17,0
768,0,0,17.0039,2,18,16,0
784,0,0,16.9688,2,18,16,0
800,0,0,16.9453,1,17,16,0
816,0,0,16.9531,1,17,16,0
832,0,0,16.9297,1,17,16,0
848,0,0,17.2227,2,18,16,0
864,0,0,17.5898,3,19,16,0
880,0,0,17.418,2,18,16,0
896,0,0,17.1016,2,18,16,0
912,0,0,16.9844,1,17,16,0
928,0,0,17.0273,2,18,16,0
944,0,0,16.9844,2,18,16,0
960,0,0,16.9609,1,17,16,0
976,0,0,16.9531,1,17,16,0
992,0,0,16.9688,1,17,16,0
1008,0,0,16.9297,1,17,16,0
1024,0,0,16.9727,1,17,16,0
1040,0,0,16.957,1,17,16,0
1056,0,0,16.9766,1,17,16,0
1072,0,0,16.957,1,17,16,0
1088,0,0,16.9531,1,17,16,0
1104,0,0,16.957,1,17,16,0
1120,0,0,16.957,1,17,16,0
1136,0,0,16.9805,1,17,16,0
1152,0,0,16.9805,1,17,16,0
1168,0,0,16.9805,1,17,16,0
1184,0,0,16.9883,1,17,16,0
1200,0,0,16.9648,1,17,16,0
1216,0,0,16.9766,1,17,16,0
1232,0,0,16.9688,1,17,16,0
1248,0,0,16.957,1,17,16,0
1264,0,0,16.9648,1,17,16,0
1280,0,0,16.9688,1,17,16,0
1296,0,0,16.9766,1,17,16,0
1312,0,0,16.957,1,17,16,0
1328,0,0,16.9805,1,17,16,0
1344,0,0,16.957,1,17,16,0
1360,0,0,16.9609,1,17,16,0
1376,0,0,16.9648,1,17,16,0
1392,0,0,16.9688,1,17,16,0
1408,0,0,16.9648,1,17,16,0
1424,0,0,16.9727,1,17,16,0
1440,0,0,16.9414,1,17,16,0
1456,0,0,16.9609,1,17,16,0
1472,0,0,16.9492,1,17,16,0
1488,0,0,16.9492,1,17,16,0
1504,0,0,16.9727,1,17,16,0
1520,0,0,16.9492,1,17,16,0
1536,0,0,16.9844,2,18,16,0
1552,0,0,17.0391,2,18,16,0
1568,0,0,16.9453,1,17,16,0
1584,0,0,16.9258,1,17,16,0
1600,0,0,16.9453,2,18,16,0
1616,0,0,16.9531,1,17,16,0
1632,0,0,17.3633,2,18,16,0
1648,0,0,17.9492,2,19,17,0
1664,0,0,17.8945,2,19,17,0
1680,0,0,17.6133,1,18,17,0
1696,0,0,17.1094,1,18,17,0
1712,0,0,17.2578,1,18,17,0
1728,0,0,17.1562,2,18,16,0
1744,0,0,16.9648,1,17,16,0
1760,0,0,17.0625,2,18,16,0
1776,0,0,16.9609,1,17,16,0
1792,0,0,16.957,1,17,16,0
1808,0,0,16.9492,1,17,16,0
1824,0,0,17.0312,2,18,16,0
1840,0,0,17.0547,1,18,17,0
1856,0,0,17.1523,1,18,17,0
1872,0,0,17.0234,1,18,17,0
1888,0,0,17.0664,2,18,16,0
1904,0,0,17.0938,6,22,16,0
0,16,0,16.957,1,17,16,0
16,16,0,16.957,1,17,16,0
32,16,0,16.957,1,17,16,0
48,16,0,16.9531,1,17,16,0
64,16,0,16.9492,1,17,16,0
80,16,0,16.9609,1,17,16,0
96,16,0,16.9297,1,17,16,0
112,16,0,16.957,1,17,16,0
128,16,0,16.9766,1,17,16,0
144,16,0,16.9727,1,17,16,0
160,16,0,16.9766,1,17,16,0
176,16,0,16.9766,1,17,16,0
192,16,0,16.9648,1,17,16,0
208,16,0,16.957,1,17,16,0
224,16,0,16.9688,1,17,16,0
240,16,0,16.9609,1,17,16,0
256,16,0,16.957,1,17,16,0
272,16,0,16.9531,1,17,16,0
288,16,0,16.9414,1,17,16,0
304,16,0,16.9492,1,17,16,0
320,16,0,16.9258,1,17,16,0
336,16,0,16.9414,2,18,16,0
352,16,0,17.4023,2,19,17,0
368,16,0,17.8047,2,19,17,0
384,16,0,17.9609,1,18,17,0
400,16,0,18.0156,2,19,17,0
416,16,0,18.082,2,19,17,0
432,16,0,18.2109,1,19,18,0
448,16,0,18.3594,1,19,18,0
464,16,0,18.3906,1,19,18,0
480,16,0,18.5273,1,19,18,0
496,16,0,18.4922,1,19,18,0
